"lemma","word","kjv_def","strongs_def","derivation"
"G3584","ξηρός","dry land, withered"," arid; by implication, shrunken, earth (as opposed to water)","from the base of G3582 (ξέστης) (through the idea of scorching);"
"G167","ἀκαθαρσία","uncleanness"," impurity (the quality), physically or morally","from G169 (ἀκάθαρτος);"
"G2647","καταλύω","destroy, dissolve, be guest, lodge, come to nought, overthrow, throw down"," to loosen down (disintegrate), i.e. (by implication) to demolish (literally or figuratively); specially (compare G2646 (κατάλυμα)) to halt for the night","from G2596 (κατά) and G3089 (λύω);"
"G2866","κομψότερον","+ began to amend"," figuratively, convalescent","neuter comparative of a derivative of the base of 2865 (meaning, properly, well dressed, i.e. nice);"
"G1071","γέλως","laughter"," laughter (as a mark of gratification)","from G1070 (γελάω);"
"G4895","σύνειμι","be with"," to be in company with, i.e. present at the time","from G4862 (σύν) and G1510 (εἰμί) (including its various inflections);"
"G3694","ὀπίσω","after, back(-ward), (+ get) behind, + follow"," to the back, i.e. aback (as adverb or preposition of time or place; or as noun)","from the same as G3693 (ὄπισθεν) with enclitic of direction;"
"G4638","σκήνωμα"," tabernacle"," an encampment, i.e. (figuratively) the Temple (as God's residence), the body (as a tenement for the soul)","from G4637 (σκηνόω);"
"G3176","μέγιστος","exceeding great"," greatest or very great","superlative of G3173 (μέγας);"
"G5394","φλογίζω","set on fire"," to cause a blaze, i.e. ignite (figuratively, to inflame with passion)","from G5395 (φλόξ);"
"G2885","κοσμέω","adorn, garnish, trim"," to put in proper order, i.e. decorate (literally or figuratively); specially, to snuff (a wick)","from G2889 (κόσμος);"
"G359","ἀνάλυσις","departure"," departure","from G360 (ἀναλύω);"
"G3969","Πατροβᾶς","Patrobas"," father's life; Patrobas, a Christian","perhaps a contraction for (a compound of G3962 (πατήρ) and G979 (βίος));"
"G4934","συντίθεμαι","agree, assent, covenant"," to place jointly, i.e. (figuratively) to consent (bargain, stipulate), concur","middle voice from G4862 (σύν) and G5087 (τίθημι);"
"G1617","ἐκτενέστερον","more earnestly"," more intently","neuter of the comparative of G1618 (ἐκτενής);"
"G588","ἀποδέχομαι","accept, receive (gladly)"," to take fully, i.e. welcome (persons), approve (things)","from G575 (ἀπό) and G1209 (δέχομαι);"
"G451","Ἄννα","Anna"," Anna, an Israelitess","of Hebrew origin (H02584);"
"G2593","καρποφόρος","fruitful"," fruitbearing (figuratively)","from G2590 (καρπός) and G5342 (φέρω);"
"G5266","ὑπόδημα","shoe"," something bound under the feet, i.e. a shoe or sandal","from G5265 (ὑποδέω);"
"G1327","διέξοδος","highway"," an outlet through, i.e. probably an open square (from which roads diverge)","from G1223 (διά) and G1841 (ἔξοδος);"
"G2455","Ἰούδας","Juda(-h, -s); Jude"," Judas (i.e. Jehudah), the name of ten Israelites; also of the posterity of one of them and its region","of Hebrew origin (H03063);"
"G5321","φανέρωσις","manifestation"," exhibition, i.e. (figuratively) expression, (by extension) a bestowment","from G5319 (φανερόω);"
"G690","Ἄραψ","Arabian"," an Arab or native of Arabia","from G688 (Ἀραβία);"
"G3335","μεταλαμβάνω","eat, have, be partaker, receive, take"," to participate; genitive case, to accept (and use)","from G3326 (μετά) and G2983 (λαμβάνω);"
"G4545","Σαμουήλ","Samuel"," Samuel (i.e. Shemuel), an Israelite","of Hebrew origin (H08050);"
"G3378","μὴ οὐκ","neither (followed by no), + never, not"," as interrogative and negative, is it not that?","i.e. G3361 (μή) and G3756 (οὐ);"
"G2319","θεοστυγής","hater of God"," hateful to God, i.e. impious","from G2316 (θεός) and the base of G4767 (στυγνητός);"
"G4391","προϋπάρχω","+ be before(-time)"," to exist before, i.e. (adverbially) to be or do something previously","from G4253 (πρό) and G5225 (ὑπάρχω);"
"G461","ἀνορθόω","lift (set) up, make straight"," to straighten up","from G303 (ἀνά) and a derivative of the base of G3717 (ὀρθός);"
"G2308","θέλησις","will"," determination (properly, the act), i.e. option","from G2309 (θέλω);"
"G5289","ὑποστολή","draw back"," shrinkage (timidity), i.e. (by implication) apostasy","from G5288 (ὑποστέλλω);"
"G3906","παρατηρέω","observe, watch"," to inspect alongside, i.e. note insidiously or scrupulously","from G3844 (παρά) and G5083 (τηρέω);"
"G3188","μέλαν","ink"," ink","neuter of G3189 (μέλας) as noun;"
"G404","ἀναψύχω","refresh"," properly, to cool off, i.e. (figuratively) relieve","from G303 (ἀνά) and G5594 (ψύχω);"
"G866","ἀφιλάργυρος","without covetousness, not greedy of filthy lucre"," unavaricious","from G1 (Α) (as a negative particle) and G5366 (φιλάργυρος);"
"G4689","σπένδω","(be ready to) be offered"," to pour out as a libation, i.e. (figuratively) to devote (one's life or blood, as a sacrifice) (""spend"")","apparently a primary verb;"
"G953","βεβηλόω","profane"," to desecrate","from G952 (βέβηλος);"
"G4013","περιάγω","compass, go (round) about, lead about"," to take around (as a companion); reflexively, to walk around","from G4012 (περί) and G71 (ἄγω);"
"G659","ἀποτίθημι","cast off, lay apart (aside, down), put away (off)"," to put away (literally or figuratively)","from G575 (ἀπό) and G5087 (τίθημι);"
"G4467","ῥᾳδιούργημα","lewdness"," easy-going behavior, i.e. (by extension) a crime","from a comparative of (easy, i.e. reckless) and G2041 (ἔργον);"
"G3031","λιβανωτός","censer"," frankincense, i.e. (by extension) a censer for burning it","from G3030 (λίβανος);"
"G1946","Ἐπικούρειος","Epicurean"," an Epicurean or follower of Epicurus","from (compare G1947 (ἐπικουρία)) (a noted philosopher);"
"G2823","κλίβανος","oven"," an earthen pot used for baking in","of uncertain derivation;"
"G493","Ἀντίπας","Antipas"," Antipas, a Christian","contracted for a compound of G473 (ἀντί) and a derivative of G3962 (πατήρ);"
"G3711","ὀργίλος","soon angry"," irascible","from G3709 (ὀργή);"
"G4103","πιστός","believe(-ing, -r), faithful(-ly), sure, true"," objectively, trustworthy; subjectively, trustful","from G3982 (πείθω);"
"G98","Ἀδραμυττηνός","of Adramyttium"," Adramyttene or belonging to Adramyttium","from (a place in Asia Minor);"
"G2413","ἱερός","holy"," sacred","of uncertain affinity;"
"G1922","ἐπίγνωσις","(ac-)knowledge(-ing, - ment)"," recognition, i.e. (by implication) full discernment, acknowledgement","from G1921 (ἐπιγινώσκω);"
"G3882","παράλιος","sea coast"," beside the salt (sea), i.e. maritime","from G3844 (παρά) and G251 (ἅλς);"
"G1151","δάμαλις","heifer"," a heifer (as tame)","probably from the base of G1150 (δαμάζω);"
"G3598","ὁδός","journey, (high-)way"," a road; by implication, a progress (the route, act or distance); figuratively, a mode or means","apparently a primary word;"
"G3377","μηνύω","shew, tell"," to disclose (through the idea of mental effort and thus calling to mind), i.e. report, declare, intimate","probably from the same base as G3145 (μασσάομαι) and G3415 (μνάομαι) (i.e. , to strive);"
"G3496","Νεάπολις","Neapolis"," new town; Neapolis, a place in Macedonia","from G3501 (νέος) and G4172 (πόλις);"
"G2456","Ἰουλία","Julia"," Julia, a Christian woman","feminine of the same as G2457 (Ἰούλιος);"
"G5239","ὑπερεκτείνω","stretch beyond"," to extend inordinately","from G5228 (ὑπέρ) and G1614 (ἐκτείνω);"
"G2435","ἱλαστήριον","mercyseat, propitiation"," an expiatory (place or thing), i.e. (concretely) an atoning victim, or (specially) the lid of the Ark (in the Temple)","neuter of a derivative of G2433 (ἱλάσκομαι);"
"G54","ἁγνότης","pureness"," cleanness (the state), i.e. (figuratively) blamelessness","from G53 (ἁγνός);"
"G1271","διάνοια"," imagination, mind, understanding"," deep thought, properly, the faculty (mind or its disposition), by implication, its exercise","from G1223 (διά) and G3563 (νοῦς);"
"G2497","Ἰωρείμ","Jorim"," Jorim, an Israelite","perhaps for G2496 (Ἰωράμ);"
"G2164","εὐφορέω","bring forth abundantly"," to bear well, i.e. be fertile","from G2095 (εὖ) and G5409 (φορέω);"
"G1616","ἐκτένεια","X instantly"," intentness","from G1618 (ἐκτενής);"
"G3757","οὗ","where(-in), whither(-soever)"," at which place, i.e. where","genitive case of G3739 (ὅς) as adverb;"
"G3483","ναί","even so, surely, truth, verily, yea, yes"," yes","a primary particle of strong affirmation;"
"G5611","ὡραῖος","beautiful"," belonging to the right hour or season (timely), i.e. (by implication) flourishing (beauteous (figuratively))","from G5610 (ὥρα);"
"G2672","καταράομαι","curse"," to execrate; by analogy, to doom","middle voice from G2671 (κατάρα);"
"G5378","Φιλόλογος","Philologus"," fond of words, i.e. talkative (argumentative, learned, ""philological""); Philologus, a Christian","from G5384 (φίλος) and G3056 (λόγος);"
"G4816","συλλέγω","gather (together, up)"," to collect","from G4862 (σύν) and G3004 (λέγω) in its original sense;"
"G4211","πορφυρόπωλις","seller of purple"," a female trader in purple cloth","feminine of a compound of G4209 (πορφύρα) and G4453 (πωλέω);"
"G793","ἀστήρικτος","unstable"," unfixed, i.e. (figuratively) vacillating","from G1 (Α) (as a negative particle) and a presumed derivative of G4741 (στηρίζω);"
"G4156","πνικτός","strangled"," throttled, i.e. (neuter concretely) an animal choked to death (not bled)","from G4155 (πνίγω);"
"G2510","καθάπτω","fasten on"," to seize upon","from G2596 (κατά) and G680 (ἅπτομαι);"
"G5285","ὑποπνέω","blow softly"," to breathe gently, i.e. breeze","from G5259 (ὑπό) and G4154 (πνέω);"
"G2028","ἐπονομάζω","call"," to name further, i.e. denominate","from G1909 (ἐπί) and G3687 (ὀνομάζω);"
"G4186","πολύτιμος","very costly, of great price"," extremely valuable","from G4183 (πολύς) and G5092 (τιμή);"
"G628","ἀπολούω","wash (away)"," to wash fully, i.e. (figuratively) have remitted (reflexively)","from G575 (ἀπό) and G3068 (λούω);"
"G1899","ἔπειτα","after that(-ward), then"," thereafter","from G1909 (ἐπί) and G1534 (εἶτα);"
"G2777","κεφαλίς","volume"," properly, a knob, i.e. (by implication) a roll (by extension from the end of a stick on which the manuscript was rolled)","from G2776 (κεφαλή);"
"G5462","φωτισμός","light"," illumination (figuratively)","from G5461 (φωτίζω);"
"G1058","Γαλλίων","Gallio"," Gallion (i.e. Gallio), a Roman officer","of Latin origin;"
"G3955","παῤῥησιάζομαι","be (wax) bold, (preach, speak) boldly"," to be frank in utterance, or confident in spirit and demeanor","middle voice from G3954 (παῤῥησία);"
"G4633","σκηνή","habitation, tabernacle"," a tent or cloth hut (literally or figuratively)","apparently akin to G4632 (σκεῦος) and G4639 (σκιά);"
"G594","ἀποδοχή","acceptation"," acceptance","from G588 (ἀποδέχομαι);"
"G4158","ποδήρης","garment down to the foot"," a dress (G2066 (ἐσθής) implied) reaching the ankles","from G4228 (πούς) and another element of uncertain affinity;"
"G5171","τρυφάω","live in pleasure"," to indulge in luxury","from G5172 (τρυφή);"
"G3413","Μιχαήλ","Michael"," Michael, an archangel","of Hebrew origin (H04317);"
"G4766","στρώννυμι","make bed, furnish, spread, strew"," to ""strew,"" i.e. spread (as a carpet or couch)","prolongation from a still simpler , (used only as an alternate in certain tenses) (probably akin to G4731 (στερεός) through the idea of positing);"
"G5601","Ὠβήδ","Obed"," Obed, an Israelite","of Hebrew origin (H05744);"
"G3330","μεταδίδωμι","give, impart"," to give over, i.e. share","from G3326 (μετά) and G1325 (δίδωμι);"
"G3747","ὀστέον","bone"," a bone","of uncertain affinity;"
"G3104","Μαϊνάν","Mainan"," Mainan, an Israelite","probably of Hebrew origin;"
"G5367","φίλαυτος","lover of own self"," fond of self, i.e. selfish","from G5384 (φίλος) and G846 (αὐτός);"
"G232","ἁλιεύω","go a-fishing"," to be a fisher, i.e. (by implication) to fish","from G231 (ἁλιεύς);"
"G3725","ὅριον","border, coast"," a boundary-line, i.e. (by implication) a frontier (region)","neuter of a derivative of an apparently primary (a bound or limit);"
"G756","ἄρχομαι","(rehearse from the) begin(-ning)"," to commence (in order of time)","middle voice of G757 (ἄρχω) (through the implication, of precedence);"
"G198","ἀκριβόω","enquire diligently"," to be exact, i.e. ascertain","from the same as G196 (ἀκριβέστατος);"
"G4130","πλήθω","accomplish, full (…come), furnish"," to ""fill"" (literally or figuratively (imbue, influence, supply)); specially, to fulfil (time)","a prolonged form of a primary (which appears only as an alternate in certain tenses and in the reduplicated form pimplemi);"
"G3370","Μῆδος","Mede"," a Median, or inhabitant of Media","of foreign origin (compare H04074);"
"G2820","κληρόω","obtain an inheritance"," to allot, i.e. (figuratively) to assign (a privilege)","from G2819 (κλῆρος);"
"G5248","ὑπερπερισσεύω","abound much more, exceeding"," to super-abound","from G5228 (ὑπέρ) and G4052 (περισσεύω);"
"G2848","κόκκος","corn, grain"," a kernel of seed","apparently a primary word;"
"G3080","λύσις","to be loosed"," a loosening, i.e. (specially), divorce","from G3089 (λύω);"
"G2964","κυρόω","confirm"," to make authoritative, i.e. ratify","from the same as G2962 (κύριος);"
"G3548","νομοθεσία","giving of the law"," legislation (specially, the institution of the Mosaic code)","from G3550 (νομοθέτης);"
"G1612","ἐκστρέφω","subvert"," to pervert (figuratively)","from G1537 (ἐκ) and G4762 (στρέφω);"
"G2743","καυτηριάζω","sear with a hot iron"," to brand (""cauterize""), i.e. (by implication) to render unsensitive (figuratively)","from a derivative of G2545 (καίω);"
"G5492","χειμάζω","be tossed with tempest"," to storm, i.e. (passively) to labor under a gale","from the same as G5494 (χειμών);"
"G1600","ἐκπετάννυμι","stretch forth"," to fly out, i.e. (by analogy) to extend","from G1537 (ἐκ) and a form of G4072 (πέτομαι);"
"G4976","σχῆμα","fashion"," a figure (as a mode or circumstance), i.e. (by implication) external condition","from the alternate of G2192 (ἔχω);"
"G4104","πιστόω","assure of"," to assure","from G4103 (πιστός);"
"G1365","διστάζω","doubt"," properly, to duplicate, i.e. (mentally) to waver (in opinion)","from G1364 (δίς);"
"G1551","ἐκδέχομαι","expect, look (tarry) for, wait (for)"," to accept from some source, i.e. (by implication) to await","from G1537 (ἐκ) and G1209 (δέχομαι);"
"G2424","Ἰησοῦς","Jesus"," Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites","of Hebrew origin (H03091);"
"G4761","στρεβλόω"," wrest"," to wrench, i.e. (specially), to torture (by the rack), but only figuratively, to pervert","from a derivative of G4762 (στρέφω);"
"G3149","μαστός","pap"," a (properly, female) breast (as if kneaded up)","from the base of G3145 (μασσάομαι);"
"G109","ἀήρ","air"," by analogy, to blow); ""air"" (as naturally circumambient)","from (to breathe unconsciously, i.e. respire;"
"G2547","κἀκεῖθεν","and afterward (from) (thence), thence also"," likewise from that place (or time)","from G2532 (καί) and G1564 (ἐκεῖθεν);"
"G4712","στάδιον","furlong, race"," a stade or certain measure of distance; by implication, a stadium or race-course","from the base of G2476 (ἵστημι) (as fixed);"
"G4413","πρῶτος","before, beginning, best, chief(-est), first (of all), former"," foremost (in time, place, order or importance)","contracted superlative of G4253 (πρό);"
"G1119","γόνυ","knee(X -l)"," the ""knee""","of uncertain affinity;"
"G4952","συσπαράσσω","throw down"," to rend completely, i.e. (by analogy) to convulse violently","from G4862 (σύν) and G4682 (σπαράσσω);"
"G4997","σωφροσύνη","soberness, sobriety"," soundness of mind, i.e. (literally) sanity or (figuratively) self-control","from G4998 (σώφρων);"
"G3655","ὄμβρος","shower"," a thunder storm","of uncertain affinity;"
"G469","ἀνταπόδοσις","reward"," requital (properly, the act)","from G467 (ἀνταποδίδωμι);"
"G1525","εἰσέρχομαι","X arise, come (in, into), enter in(-to), go in (through)"," to enter (literally or figuratively)","from G1519 (εἰς) and G2064 (ἔρχομαι);"
"G4313","προπορεύομαι","go before"," to precede (as guide or herald)","from G4253 (πρό) and G4198 (πορεύομαι);"
"G1430","δῶμα","housetop"," properly, an edifice, i.e. (specially) a roof","from (to build);"
"G3820","παλαιός","old"," antique, i.e. not recent, worn out","from G3819 (πάλαι);"
"G4613","Σίμων","Simon"," Simon (i.e. Shimon), the name of nine Israelites","of Hebrew origin (H08095);"
"G1585","ἐκλανθάνομαι","forget"," to be utterly oblivious of","middle voice from G1537 (ἐκ) and G2990 (λανθάνω);"
"G1126","γραώδης","old wives'"," crone-like, i.e. silly","from (an old woman) and G1491 (εἶδος);"
"G3841","παντοκράτωρ","Almighty, Omnipotent"," the all-ruling, i.e. God (as absolute and universal sovereign)","from G3956 (πᾶς) and G2904 (κράτος);"
"G220","ἀλέκτωρ","cock"," a cock or male fowl","from (to ward off);"
"G4837","συμπαρακαλέω","comfort together"," to console jointly","from G4862 (σύν) and G3870 (παρακαλέω);"
"G2679","κατασκάπτω","dig down, ruin"," to undermine, i.e. (by implication) destroy","from G2596 (κατά) and G4626 (σκάπτω);"
"G1528","εἰσκαλέω","call in"," to invite in","from G1519 (εἰς) and G2564 (καλέω);"
"G3198","Μελχισεδέκ","Melchisedec"," Melchisedek (i.e. Malkitsedek), a patriarch","of Hebrew origin (H04442);"
"G2755","κενόδοξος","desirous of vain-glory"," vainly glorifying, i.e. self-conceited","from G2756 (κενός) and G1391 (δόξα);"
"G5063","τεσσαρακονταετής","(+ full, of) forty years (old)"," of forty years of age","from G5062 (τεσσαράκοντα) and G2094 (ἔτος);"
"G4408","πρῶρα","forepart(-ship)"," the prow, i.e. forward part of a vessel","feminine of a presumed derivative of G4253 (πρό) as noun;"
"G2463","ἶρις","rainbow"," a rainbow (""iris"")","perhaps from G2046 (ἐρέω) (as a symbol of the female messenger of the pagan deities);"
"G5380","φιλόνεικος","contentious"," probably akin to G3534 (νῖκος)); fond of strife, i.e. disputatious","from G5384 (φίλος) and (a quarrel;"
"G1633","ἐκχωρέω","depart out"," to depart","from G1537 (ἐκ) and G5562 (χωρέω);"
"G5574","ψεύδομαι","falsely, lie"," to utter an untruth or attempt to deceive by falsehood","middle voice of an apparently primary verb;"
"G5039","τεκμήριον","infallible proof"," a token (as defining a fact), i.e. criterion of certainty","neuter of a presumed derivative of (a goal or fixed limit);"
"G859","ἄφεσις","deliverance, forgiveness, liberty, remission"," freedom; (figuratively) pardon","from G863 (ἀφίημι);"
"G5551","χρονοτριβέω","spend time"," to be a time-wearer, i.e. to procrastinate (linger)","from a presumed compound of G5550 (χρόνος) and the base of G5147 (τρίβος);"
"G4306","προνοέω","provide (for)"," to consider in advance, i.e. look out for beforehand (actively, by way of maintenance for others; middle voice by way of circumspection for oneself)","from G4253 (πρό) and G3539 (νοιέω);"
"G721","ἀρνίον","lamb"," a lambkin","diminutive from G704 (ἀρήν);"
"G4584","Σεμεΐ","Semei"," Semei (i.e. Shimi), an Israelite","of Hebrew origin (H08096);"
"G4098","πίπτω","fail, fall (down), light on"," to fall (literally or figuratively)","probably akin to G4072 (πέτομαι) through the idea of alighting;"
"G4468","ῥᾳδιουργία","mischief"," recklessness, i.e. (by extension) malignity","from the same as G4467 (ῥᾳδιούργημα);"
"G4066","περίχωρος","country (round) about, region (that lieth) round about"," around the region, i.e. circumjacent (as noun, with G1093 (γῆ) implied vicinity)","from G4012 (περί) and G5561 (χώρα);"
"G4251","Πρίσκα","Prisca"," feminine of Priscus, ancient; Priska, a Christian woman","of Latin origin;"
"G4867","συναθροίζω","call (gather) together"," to convene","from G4862 (σύν) and (to hoard);"
"G2265","Ἡρωδιανοί","Herodians"," Herodians, i.e. partisans of Herod","plural of a derivative of G2264 (Ἡρώδης);"
"G5276","ὑπολήνιον","winefat"," vessel or receptacle under the press, i.e. lower wine-vat","neuter of a presumed compound of G5259 (ὑπό) and G3025 (ληνός);"
"G4530","Σαλείμ","Salim"," Salim, a place in Palestine","probably from the same as G4531 (σαλεύω);"
"G4812","συλαγωγέω","spoil"," to lead away as booty, i.e. (figuratively) seduce","from the base of G4813 (συλάω) and (the reduplicated form of) G71 (ἄγω);"
"G4449","πυῤῥάζω","be red"," to redden (intransitively)","from G4450 (πυῤῥός);"
"G2202","ζευκτηρία","band"," a fastening (tiller-rope)","feminine of a derivative (at the second stage) from the same as G2218 (ζυγός);"
"G1033","βρῶμα","meat, victuals"," food (literally or figuratively), especially (ceremonially) articles allowed or forbidden by the Jewish law","from the base of G977 (βιβρώσκω);"
"G831","αὐθεντέω","usurp authority over"," to act of oneself, i.e. (figuratively) dominate","from a compound of G846 (αὐτός) and an obsolete (a worker);"
"G5143","τρέχω","have course, run"," compare G2359 (θρίξ)); which uses (the base of G1408 (δρόμος)) as alternate in certain tenses; to run or walk hastily (literally or figuratively)","apparently a primary verb (properly, ;"
"G1850","ἐξουσιάζω","exercise authority upon, bring under the (have) power of"," to control","from G1849 (ἐξουσία);"
"G178","ἀκατάκριτος","uncondemned"," without (legal) trial","from G1 (Α) (as a negative particle) and a derivative of G2632 (κατακρίνω);"
"G3902","παράσημος","sign"," side-marked, i.e. labelled (with a badge (figure-head) of a ship)","from G3844 (παρά) and the base of G4591 (σημαίνω);"
"G541","ἀπαύγασμα","brightness"," an off-flash, i.e. effulgence","from a compound of G575 (ἀπό) and G826 (αὐγάζω);"
"G3314","μεσημβρία","noon, south"," midday; by implication, the south","from G3319 (μέσος) and G2250 (ἡμέρα);"
"G2835","κοδράντης","farthing"," a quadrans, i.e. the fourth part of an as","of Latin origin;"
"G4366","προσρήγνυμι","beat vehemently against (upon)"," to tear towards, i.e. burst upon (as a tempest or flood)","from G4314 (πρός) and G4486 (ῥήγνυμι);"
"G4702","σπόριμος","corn(-field)"," sown, i.e. (neuter plural) a planted field","from G4703 (σπόρος);"
"G3768","οὔπω","hitherto not, (no…) as yet, not yet"," not yet","from G3756 (οὐ) and G4452 (-πω);"
"G3418","μνῆμα","grave, sepulchre, tomb"," a memorial, i.e. sepulchral monument (burial-place)","from G3415 (μνάομαι);"
"G5193","ὑάλινος","of glass"," glassy, i.e. transparent","from G5194 (ὕαλος);"
"G1621","ἐκτινάσσω","shake (off)"," to shake violently","from G1537 (ἐκ) and tinasso (to swing);"
"G1867","ἐπαινέω","commend, laud, praise"," to applaud","from G1909 (ἐπί) and G134 (αἰνέω);"
"G3587","ξυράω","shave"," to shave or ""shear"" the hair","from a derivative of the same as G3586 (ξύλον) (meaning a razor);"
"G5429","φρόνιμος","wise(-r)"," thoughtful, i.e. sagacious or discreet (implying a cautious character; while G4680 (σοφός) denotes practical skill or acumen; and G4908 (συνετός) indicates rather intelligence or mental acquirement); in a bad sense conceited (also in the comparative)","from G5424 (φρήν);"
"G1232","διαγνωρίζω","make known"," to tell abroad","from G1123 (γραπτός) and G1107 (γνωρίζω);"
"G3016","λεπτόν","mite"," something scaled (light), i.e. a small coin","neuter of a derivative of the same as G3013 (λεπίς);"
"G2479","ἰσχύς","ability, might(-ily), power, strength"," compare , a form of G2192 (ἔχω)); forcefulness (literally or figuratively)","from a derivative of (force;"
"G5117","τόπος","coast, licence, place, X plain, quarter, + rock, room, where"," a spot (general in space, but limited by occupancy; whereas G5561 (χώρα) is a large but participle locality), i.e. location (as a position, home, tract, etc.); figuratively, condition, opportunity; specially, a scabbard","apparently a primary word;"
"G5585","ψηφίζω","count"," to use pebbles in enumeration, i.e. (generally) to compute","from G5586 (ψῆφος);"
"G4187","πολυτρόπως","in divers manners"," in many ways, i.e. variously as to method or form","adverb from a compound of G4183 (πολύς) and G5158 (τρόπος);"
"G2472","ἰσότιμος","like precious"," of equal value or honor","from G2470 (ἴσος) and G5092 (τιμή);"
"G2128","εὐλογητός","blessed"," adorable","from G2127 (εὐλογέω);"
"G2664","καταπαύω","cease, (give) rest(-rain)"," to settle down, i.e. (literally) to colonize, or (figuratively) to (cause to) desist","from G2596 (κατά) and G3973 (παύω);"
"G4996","σωφρόνως","soberly"," with sound mind, i.e. moderately","adverb from G4998 (σώφρων);"
"G3113","μακρόθεν","afar off, from far"," from a distance or afar","adverb from G3117 (μακρός);"
"G500","ἀντίχριστος","antichrist"," an opponent of the Messiah","from G473 (ἀντί) and G5547 (Χριστός);"
"G5460","φωτεινός","bright, full of light"," lustrous, i.e. transparent or well-illuminated (figuratively)","from G5457 (φῶς);"
"G3157","Ματθάν","Matthan"," Matthan (i.e. Mattan), an Israelite","of Hebrew origin (H04977);"
"G1314","διαφυλάσσω","keep"," to guard thoroughly, i.e. protect","from G1223 (διά) and G5442 (φυλάσσω);"
"G168","ἀκαθάρτης","filthiness"," impurity (the state), morally","from G169 (ἀκάθαρτος);"
